dataHora,ordem,linha,latitude,longitude,velocidade
09-24-2016 22:18:27,A72094,006,"-22.926256","-43.19136",19.26
09-24-2016 22:18:27,B32725,946,"-22.81444","-43.38258",0
09-24-2016 22:18:29,D86714,2804,"-22.879683","-43.465927",21.48
09-24-2016 22:18:30,A50042,,"-22.929029","-43.2537",0
09-24-2016 22:18:31,B42667,457,"-22.885401","-43.3004",0
09-24-2016 22:18:31,C50077,805,"-22.929066","-43.254059",0
09-24-2016 22:18:38,D86772,2381,"-22.893578","-43.53233",0.19
09-24-2016 22:18:39,C72155,410,"-22.889839","-43.291817",0
09-24-2016 22:18:40,C20150,390,"-22.903786","-43.18676",45
09-24-2016 22:18:42,B25809,,"-22.90205","-43.299191",0
09-24-2016 22:18:42,B73053,665,"-22.80925","-43.34396",0
09-24-2016 22:18:42,D17013,,"-22.91855","-43.607571",0
09-24-2016 22:18:43,B19623,665,"-22.811399","-43.342789",0
09-24-2016 22:18:43,D87366,,"-22.91881","-43.60722",0
09-24-2016 22:18:43,D87403,,"-22.91869","-43.60725",0
09-24-2016 22:18:45,A50143,229,"-22.928982","-43.254345",0
09-24-2016 22:18:46,B42509,,"-22.8769","-43.330299",0
09-24-2016 22:18:48,B32779,385,"-22.81715","-43.393749",0
09-24-2016 22:18:49,B32615,795,"-22.814461","-43.382561",0
09-24-2016 22:18:49,B75575,,"-22.83066","-43.32378",0
09-24-2016 22:18:51,B32561,,"-22.81595","-43.395012",0
09-24-2016 22:18:53,B42663,457,"-22.876699","-43.3297",0
09-24-2016 22:18:53,D87832,,"-22.917271","-43.607288",0
09-24-2016 22:18:55,B28617,,"-22.815319","-43.188469",0
09-24-2016 22:18:55,B73119,350,"-22.831751","-43.329479",0
09-24-2016 22:18:55,D87119,821,"-22.916599","-43.607059",0
09-24-2016 22:18:58,B32619,779,"-22.81632","-43.394371",0
09-24-2016 22:18:59,B19514,665,"-22.80612","-43.36377",0
09-24-2016 22:18:59,B42660,457,"0","0",0
09-24-2016 22:18:59,D17049,869,"-22.91725","-43.60701",0
09-24-2016 22:18:59,D86123,864,"-22.902063","-43.556358",3.52
09-24-2016 22:18:59,D86246,864,"-22.895088","-43.53294",0
09-24-2016 22:19:00,A72101,010,"-22.889193","-43.29295",0
09-24-2016 22:19:01,B32712,399,"-22.81406","-43.382671",0
09-24-2016 22:19:02,B25518,232,"-22.90885","-43.17041",0
09-24-2016 22:19:03,D86738,2803,"-22.894329","-43.532124",0.56
09-24-2016 22:19:06,D87285,,"-22.916691","-43.60725",0
09-24-2016 22:19:07,D86073,843,"-22.901733","-43.555023",0.19
09-24-2016 22:19:09,D86070,867,"-22.895523","-43.53281",0
09-24-2016 22:19:09,D86767,2338,"-22.89415","-43.532696",0
09-24-2016 22:19:10,A72031,410,"-22.889183","-43.292816",0
09-24-2016 22:19:11,D53518,393,"-22.88592","-43.466492",18
09-24-2016 22:19:12,A47634,551,"-22.999584","-43.272812",43
09-24-2016 22:19:12,B19590,,"-22.809719","-43.342899",0
09-24-2016 22:19:12,C42523,607,"-22.89608","-43.305481",12
09-24-2016 22:19:13,B32579,793,"-22.81629","-43.394348",0
09-24-2016 22:19:14,B55105,292,"-22.906651","-43.260872",0
09-24-2016 22:19:16,C20217,390,"-22.956924","-43.346268",0.19
09-24-2016 22:19:17,B28551,326,"-22.90946","-43.206409",30
09-24-2016 22:19:18,D17034,,"-22.91703","-43.60743",0
09-24-2016 22:19:19,B32557,,"-22.816219","-43.394508",0
09-24-2016 22:19:19,B55054,292,"-22.906401","-43.26157",0
09-24-2016 22:19:19,B55067,,"-22.90657","-43.260262",0
09-24-2016 22:19:20,A50083,229,"-22.928787","-43.254261",0
09-24-2016 22:19:20,B32760,,"-22.84696","-43.400211",81
09-24-2016 22:19:20,B32817,,"-22.81472","-43.382408",0
09-24-2016 22:19:20,C20060,390,"-22.926847","-43.348808",21.11
09-24-2016 22:19:24,C20234,611,"-22.939211","-43.384121",0
09-24-2016 22:19:24,D86169,838,"-22.944256","-43.594383",35.37
09-24-2016 22:19:25,D17104,849,"-22.91844","-43.60815",0
09-24-2016 22:19:27,B55138,311,"-22.90653","-43.26162",0
09-24-2016 22:19:27,C42618,607,"-22.927509","-43.23996",6
09-24-2016 22:19:27,D86409,835,"-22.950878","-43.564072",34.08
09-24-2016 22:19:27,D87893,2339,"-22.916639","-43.607319",0
09-24-2016 22:19:28,C20011,600,"-22.915083","-43.265858",38.52
09-24-2016 22:19:28,C20034,600,"-22.914898","-43.235489",30
09-24-2016 22:19:28,C20228,390,"-22.946316","-43.389713",30.93
09-24-2016 22:19:29,B28707,2344,"-22.814581","-43.188751",0
09-24-2016 22:19:30,B27183,629,"-22.8167","-43.301701",0
09-24-2016 22:19:30,B32720,,"-22.81588","-43.394691",0
09-24-2016 22:19:30,C12523,2345,"-22.866659","-43.355415",0
09-24-2016 22:19:31,C20045,600,"-22.920822","-43.224861",0
09-24-2016 22:19:31,C20087,880,"-22.95583","-43.349598",0
09-24-2016 22:19:32,B28730,2343,"-22.814581","-43.18869",0
09-24-2016 22:19:32,C20069,390,"-22.93829","-43.339275",47.6
09-24-2016 22:19:33,B25579,,"-22.90254","-43.297722",0
09-24-2016 22:19:33,B25609,,"-22.902189","-43.298328",0
09-24-2016 22:19:33,B58144,623,"-22.892059","-43.278702",27
09-24-2016 22:19:33,C12509,2345,"-22.866188","-43.35603",0
09-24-2016 22:19:33,C20167,390,"-22.92671","-43.348515",0.19
09-24-2016 22:19:33,C20198,859,"-22.914728","-43.348972",26.48
09-24-2016 22:19:33,D86742,2803,"-22.894295","-43.532516",0
09-24-2016 22:19:34,B42666,457,"-22.8853","-43.300758",0
09-24-2016 22:19:34,B44661,638,"-22.86034","-43.356281",0
09-24-2016 22:19:34,C20004,611,"-22.921295","-43.330059",64.08
09-24-2016 22:19:34,C20094,601,"-22.924351","-43.361305",27.22
09-24-2016 22:19:35,B58070,312,"-22.837021","-43.285099",0
09-24-2016 22:19:35,B58126,,"-22.83712","-43.286621",17
09-24-2016 22:19:35,C20020,380,"-22.956657","-43.349987",23.89
09-24-2016 22:19:35,C20063,390,"-22.936455","-43.333454",1.3
09-24-2016 22:19:35,D86799,2338,"-22.950609","-43.605103",28.52
